id,name,area,lat,lng,last_updated
266014386,ВДНХ,pushkinskoye-russia,55.82629,37.63765,1536940440
217902418,Gorky_Park_Moscow_,udelnaya-russia,55.7316020933,37.6038028775,1536940462
941843298,Парк_Горького,udelnaya-russia,55.73144,37.60337,1536940511
405229172,ТРЦ_Европейский,dorogomilovo-russia,55.7444099212,37.5665473938,1536940497
217973792,Crocus_City_Hall,krasnogorsk-russia,55.8261645187,37.3905242657,1536940448
151576,ТЦ_МЕТРОПОЛИС,pokrovskoyestreshevo-russia,55.82341,37.49796,1536940574
498053705,Sokolniki_Park,pushkinskoye-russia,55.8002777778,37.6741666667,1536940625
14091773,МГУ_Moscow_State_University,vorobyevo-russia,55.706282564,37.5366610856,1536940647
12466583,Moscow_International_Business_Center,krasnaya-presnya-russia,55.7466666667,37.5369444444,1536940546
213133124,Flacon_дизайн_завод,petrovskorazumovskoye-russia,55.8048315172,37.5852431953,1536940583
893745838,THE_MOSCOW_CITY,krasnaya-presnya-russia,55.748305158,37.5400514,1536940741
228423866,Moscow_Zoo,dorogomilovo-russia,55.7619444444,37.5772222222,1536940793
407929794,АФИМОЛЛ_Сити_AFIMALL_City,krasnaya-presnya-russia,55.74894,37.53874,1536940581
5076402,Открытие_Арена,bsatsevo-russia,55.8178366596,37.440290451,1536940873
498154769,АВИАПАРК,sokol-russia,55.7903284026,37.5312924385,1536940802
2737680,Garage_Museum_of_Contemporary_Art,udelnaya-russia,55.72782,37.60161,1536940239
264846253,Москва_Проспект_Мира,pushkinskoye-russia,55.8075130849,37.6358710089,1536930972
423860212,Izmaylovsky_Park,-russia,55.77722222,37.78944444,1536940845
976007275,Москва_город_,marina-roshcha-russia,55.8022222222,37.6322222222,1536940883
409471332,Государственный_музей_заповедник_Царицыно_,orekhovo-russia,55.6183570332,37.6740249487,1536940501
229006507,Vidnoye,vidnoye-russia,55.5492,37.7078,1536941018
219067064,Кремль_в_Измайлово,izmaylovo-russia,55.7937283667,37.7502914802,1536941032
771936,Пкио_Им_Горького,udelnaya-russia,55.7314415,37.6033707,1536928984
943377772,МЕГА_Белая_Дача,kotelniki-russia,55.6577476236,37.846203272,1536941093
40690797,Парк_Сокольники_,-russia,55.7947594478,37.6760311904,1536925213
245828046,Государственный_музей_изобразительных_искусств_имени_А_С_Пушкина,udelnaya-russia,55.7470822937,37.6057848403,1536941196
1003050484,Tagansky_District,taganka-russia,55.7413888889,37.6541666667,1536941146
214368371,ICON_CLUB_Moscow,udelnaya-russia,55.7409574307,37.6112900497,1536936489
942695920,Adrenaline_Stadium,sokol-russia,55.8079235496,37.5117763829,1536939300
941753316,Москва_Сити_Апартаменты_Офисы,krasnaya-presnya-russia,55.74775,37.53907,1536933921
446595673,Krasnogorsky_District_Moscow_Oblast,krasnogorsk-russia,55.81666667,37.33333333,1536941268
213273792,Ресторан_Бар_Облака,mazilovo-russia,55.731840201,37.4895492526,1536934545
410385149,Lyublino_District,lyublinodachnoye-russia,55.675,37.76666667,1536941028
1655257197826165,Стадион_Лужники_Luzhniki_Stadium,vorobyevo-russia,55.7158436633,37.5531434063,1536941391
118391868866649,Старый_Арбат,dorogomilovo-russia,55.7509962408,37.5960965065,1536937360
252126346,Государственная_Третьяковская_галерея,udelnaya-russia,55.7412936176,37.6210069656,1536941014
347168050,Усадьба_Царицыно_Москва,orekhovo-russia,55.6230905315,37.6986399986,1536941526
347168050,Усадьба_Царицыно_Москва,kotlyakovo-russia,55.6230905315,37.6986399986,1536941526
703286500,ERWIN_РекаМореОкеан,dorogomilovo-russia,55.7516885249,37.5663589229,1536941046
652556364911567,ТРЦ_Океания,mazilovo-russia,55.7280854242,37.4754924424,1536940924
570585309,Luzhniki_Stadium,vorobyevo-russia,55.7150146184,37.5653374563,1536940852
846264575,Golyanovo_District,golyanovo-russia,55.82055556,37.80722222,1536940792
219285516,Solntsevo_Moskva_Russia,solntsevo-russia,55.6456,37.4036,1536941445
268251168,Cathedral_of_Christ_the_Saviour,udelnaya-russia,55.7444444444,37.6055555556,1536941051
219992009,Сочи,udelnaya-russia,55.7420807761,37.5991842106,1536923420
526379,Третьяковская_галерея_на_Крымском_валу,udelnaya-russia,55.73486,37.60611,1536941454
13836810,Парк_Царицыно,orekhovo-russia,55.6176070932,37.6757770333,1536936965
579621458,Zhulebino,poselok-imeni-kalinina-russia,55.684,37.855,1536941806
217099357,Siberia,dorogomilovo-russia,55.75866,37.58651,1536940383
676150822,Москвариум,pushkinskoye-russia,55.8329317126,37.6196435218,1536938083
87678,Radisson_Royal_Hotel_Moscow,dorogomilovo-russia,55.75145,37.56565,1536941844
24391232,JAGGER,dorogomilovo-russia,55.75591,37.56147,1536930442
289826840,Maryino,marina-russia,55.6488888889,37.7438888889,1536941121
13338,Московский_государственный_университет_имени_М_В_Ломоносова,vorobyevo-russia,55.7025368702,37.5311426025,1536941964
499933547,Москва_ВДНХ,pokrovskoye-russia,55.6015003525,37.6245221946,1536942144
2931644,White_Rabbit_Restaurant_Bar,dorogomilovo-russia,55.74752,37.5812,1536941704
501943515,Москва_Сити,krasnaya-presnya-russia,55.74894,37.53874,1536942045
60293141,Loft_19_0_5,krasnaya-presnya-russia,55.7623037307,37.5566344886,1536939970
213769286,Multimedia_Art_Museum_Moscow,udelnaya-russia,55.74168,37.59878,1536941852
338326316516612,Москва_Сити_башня_Око,krasnaya-presnya-russia,55.75801,37.54264,1536942271
274136345,Vorobyovy_Gory,leninskiye-gory-russia,55.7103,37.5592,1536942183
