wiki_name,lat,lon,views,suburb,roads
Park Inn Berlin,52.522777777777996,13.412777777778,13809,Mitte,
Lustgarten,52.518611111111,13.399722222222,18932,Mitte,Bodestraße
Wittenbergplatz (Berlin U-Bahn),52.501944444444,13.343055555555999,6655,Schöneberg,Wittenbergplatz
Paul-Lincke-Ufer,52.493655555556,13.429366666666999,2773,Kreuzberg,Paul-Lincke-Ufer
Spree,52.536111111111005,13.208611111110999,64419,Spandau,Obermeierweg
Wedding (Berlin),52.55,13.366666666667,36004,Wedding,Maxstraße
SO36,52.500277777777995,13.422222222221999,13265,Kreuzberg,Oranienstraße
Admiralspalast,52.520833333332995,13.388611111111,6366,Mitte,Friedrichstraße
Ufa-Palast am Zoo,52.506111111111004,13.334166666666999,5068,Charlottenburg,Hardenbergstraße
Tiergarten (park),52.513888888889,13.356944444444,59105,Tiergarten,
Neue Nationalgalerie,52.506805555556,13.367916666666998,34661,Tiergarten,Matthäikirchplatz
Hermannplatz (Berlin U-Bahn),52.487222222222,13.424722222222,5978,Neukölln,
Ramones Museum,52.50096,13.444142999999999,5027,Kreuzberg,Oberbaumstraße
Charlottenburg-Wilmersdorf,52.5,13.283333333333001,20705,Charlottenburg,Am Westkreuz
Soviet War Memorial (Tiergarten),52.51666666666701,13.372222222222,35100,Tiergarten,
Kino International,52.520555555556,13.422777777778,7406,Mitte,Karl-Marx-Allee
Mehringdamm,52.4917,13.3872,4021,Kreuzberg,Mehringdamm
Komische Oper Berlin,52.515833333333,13.386944444444001,11740,Mitte,Behrenstraße
Pariser Platz,52.516388888889,13.378888888889,19878,Mitte,Pariser Platz
Haus der Kulturen der Welt,52.518888888888995,13.365277777778001,19754,Tiergarten,
Berlin Palace,52.5175,13.402777777778,33600,Mitte,Schloßplatz
Monbijou Park,52.5231,13.3969,3969,Mitte,
Europa-Center,52.504444444444,13.338888888889,11304,Charlottenburg,Tauentzienstraße
Hebbel am Ufer,52.5004,13.3873,2906,Kreuzberg,Stresemannstraße
Oranienburger Straße,52.525277777777994,13.391111111111,17649,Mitte,Oranienburger Straße
Wustermark railway station,52.551388888889,12.945277777778001,917,,Ladestraße
The Westin Grand Berlin,52.5161,13.3886,5086,Mitte,Friedrichstraße
Prenzlauer Allee,52.544166666667,13.427222222222,1686,Prenzlauer Berg,Prenzlauer Allee
Rotes Rathaus,52.518611111111,13.408333333333001,22980,Mitte,Rathausstraße
Sanssouci Park,52.401973758100006,13.033583164200001,21103,Brandenburger Vorstadt,
Breitscheidplatz,52.50472222222201,13.335555555555999,25095,Charlottenburg,Budapester Straße
Berlin Südkreuz,52.475555555556,13.364444444444,10082,Schöneberg,
Berlin State Opera,52.51666666666701,13.395,34248,Mitte,Unter den Linden
Canisius-Kolleg Berlin,52.50916666666701,13.354444444444,3465,Tiergarten,Tiergartenstraße
Computerspielemuseum Berlin,52.5176,13.4419,10945,Fhain,Karl-Marx-Allee
Berlin Warschauer Straße station,52.506,13.449000000000002,10526,Fhain,Warschauer Straße
Equestrian statue of Frederick William IV,52.5206,13.3986,1756,Mitte,Bodestraße
Volkspark Mariendorf,52.443611111111004,13.395277777778,1943,Mariendorf,Andlauer Weg
Gesundbrunnen (Berlin),52.548611111111,13.390277777778001,9800,Gesundbrunnen,
Straße des 17. Juni,52.514166666667,13.350555555556,27282,Tiergarten,Großer Stern
Kronprinzenpalais,52.517222222222,13.396944444444001,31931,Mitte,Unter den Linden
Nazi Germany,52.51666666666701,13.4,3250679,Mitte,Schloßplatz
Friedenau,52.472222222222,13.329722222222,9537,Friedenau,Niedstraße
Viktoria-Luise-Platz,52.495833333332996,13.341944444444001,2040,Schöneberg,Viktoria-Luise-Platz
Neptunbrunnen,52.5196,13.406870000000001,13990,Mitte,
KitKatClub,52.511111111111,13.416666666666998,105488,Mitte,Brückenstraße
German Chancellery,52.52020699999999,13.369051999999998,61294,Tiergarten,Willy-Brandt-Straße
Bundestag (Berlin U-Bahn),52.520013888889,13.373005555555999,5351,Tiergarten,
"Academy of Arts, Berlin",52.515,13.379444444444001,10198,Mitte,Behrenstraße
Jannowitz Bridge,52.513936,13.415594,1830,Mitte,Am Köllnischen Park
Rathaus Schöneberg,52.485555555556004,13.343055555555999,14635,Schöneberg,Badensche Straße
Moritzplatz (Berlin U-Bahn),52.503611111111,13.410833333333,4013,Kreuzberg,Oranienstraße
Landwehr Canal,52.497777777778,13.3925,15601,Kreuzberg,Gitschiner Straße
Hansaviertel,52.51666666666701,13.338888888889,13529,Hansaviertel,Klopstockstraße
Schaubühne,52.498611111111,13.302222222222,8663,Wilmersdorf,
Berlin Wintergarten theatre,52.502222222222,13.364444444444,9531,Tiergarten,Potsdamer Straße
Neue Wache,52.5175,13.395555555556,44380,Mitte,Unter den Linden
New Palace (Potsdam),52.401111111111,13.015833333333001,40235,Brandenburger Vorstadt,Am Neuen Palais
"St. Nicholas' Church, Berlin",52.516804,13.407547000000001,10503,Mitte,
Deutsche Kinemathek,52.5096,13.3735,3381,Tiergarten,Bellevuestraße
Neukölln,52.48333333333299,13.45,44886,Neukölln,Harzer Straße
"St. Mary's Church, Berlin",52.520555555556,13.406666666666998,16630,Mitte,Karl-Liebknecht-Straße
Wasserturm Prenzlauer Berg,52.53419,13.418560000000001,4974,Prenzlauer Berg,Knaackstraße
"St. Thomas, Berlin",52.505277777799996,13.426666666700001,1660,Kreuzberg,Mariannenplatz
"New Synagogue, Berlin",52.524722222222,13.394444444444,23201,Mitte,Oranienburger Straße
Berlin Görlitzer Bahnhof,52.498999999999995,13.431,5405,Kreuzberg,Skalitzer Straße
Maxim Gorki Theater,52.5183,13.3953,3594,Mitte,Am Festungsgraben
Berlin Yorckstraße station,52.492222222222004,13.367777777778,2833,Schöneberg,Großgörschenstraße
Bunker (Berlin),52.523333333333,13.383888888889,18466,Mitte,Reinhardtstraße
"French Cathedral, Berlin",52.514323,13.392119000000001,15216,Mitte,
Marx-Engels Forum,52.518333333333,13.404166666666999,12384,Mitte,
Turmstraße,52.526305555556,13.343027777778001,1739,Moabit,Stromstraße
AquaDom,52.519722222222,13.402777777778,19257,Mitte,
Kulturforum,52.507,13.370999999999999,8365,Tiergarten,Matthäikirchplatz
Osloer Straße (Berlin U-Bahn),52.556944444444,13.373611111111,2751,Gesundbrunnen,Schwedenstraße
Märchenbrunnen,52.528055555556,13.426944444444,7956,Prenzlauer Berg,Am Friedrichshain
Zeiss Major Planetarium,52.542986111111,13.427986111111,2563,Prenzlauer Berg,Prenzlauer Allee
Berlin-Gesundbrunnen station,52.548611111111,13.389444444444,8636,Gesundbrunnen,Badstraße
Steglitz,52.466666666667,13.333333333333002,13575,Friedenau,Holsteinische Straße
World Clock (Alexanderplatz),52.52117,13.41332,3206,Mitte,
Weinmeisterstraße (Berlin U-Bahn),52.525,13.405,2611,Mitte,Neue Schönhauser Straße
Führerbunker,52.5125,13.3815,451536,Mitte,Gertrud-Kolmar-Straße
Mauerpark,52.543611111111005,13.403333333333,32470,Prenzlauer Berg,Topsstraße
Bülowstraße (Berlin U-Bahn),52.497701,13.362287,3931,Schöneberg,Bülowstraße
Kunstgewerbemuseum Berlin,52.5097,13.3674,6493,Tiergarten,Matthäikirchplatz
Bebelplatz,52.516388888889,13.392777777778,37783,Mitte,
Gneisenaustraße (Berlin U-Bahn),52.491388888889,13.396111111110999,2187,Kreuzberg,Gneisenaustraße
City West,52.5047,13.3353,10494,Charlottenburg,Budapester Straße
Nollendorfplatz (Berlin U-Bahn),52.499166666667,13.353888888889001,6407,Schöneberg,Maaßenstraße
Mitte (locality),52.519444444444,13.406666666666998,28173,Mitte,
Ernst-Thälmann-Park,52.538055555556,13.433888888889001,4693,Prenzlauer Berg,Greifswalder Straße
Berliner FC Dynamo,52.540833333333,13.476111111110999,81257,Alt-Hohenschönhausen,Steffenstraße
Leipziger Platz,52.51,13.379000000000001,5078,Mitte,Leipziger Platz
Halensee,52.494722222222,13.285555555556,6024,Grunewald,Tunnel Rathenauplatz
Heinrich-Heine-Straße (Berlin U-Bahn),52.51027777777799,13.415833333333001,2714,Mitte,Heinrich-Heine-Straße
St. Hedwig's Cathedral,52.515833333333,13.394722222221999,19077,Mitte,Hinter der Katholischen Kirche
Olympiastadion (Berlin),52.514722222222005,13.239444444444,196061,Westend,Olympischer Platz
Berlin Bornholmer Straße station,52.554444444444,13.398055555555999,3158,Gesundbrunnen,Bornholmer Straße
Berlin Anhalter Bahnhof,52.503055555556,13.381944444444,24792,Kreuzberg,Askanischer Platz
Olympia-Stadion (Berlin U-Bahn),52.517222222222,13.25,4054,Westend,
Friedrichstraße,52.51666666666701,13.389166666666998,26010,Mitte,Friedrichstraße
Berlin Greifswalder Straße station,52.539722222222004,13.439444444444002,1219,Prenzlauer Berg,Greifswalder Straße
European School of Management and Technology,52.515555555556,13.401111111111,15436,Mitte,Schlossplatz
East Berlin,52.518611111111,13.404444444444001,238226,Mitte,
Humboldt Box,52.5177,13.400429,10277,Mitte,Schloßplatz
Leipziger Straße,52.51027777777799,13.390277777778001,5348,Mitte,Friedrichstraße
Berlin State Library,52.506388888889,13.370277777778,21237,Tiergarten,Matthäikirchplatz
Schwules Museum,52.49083333333299,13.387777777778,6786,Kreuzberg,Mehringdamm
Berlin Zoologischer Garten railway station,52.507222222222005,13.3325,24439,Charlottenburg,Jebensstraße
Spittelmarkt (Berlin U-Bahn),52.511111111111,13.403611111111,3898,Mitte,Seydelstraße
Märkisches Museum,52.513611111111004,13.414722222221998,10853,Mitte,Am Köllnischen Park
Franz-Neumann-Platz (Berlin U-Bahn),52.564722222222,13.363888888889,1411,Reinickendorf,Residenzstraße
Berlin-Charlottenburg station,52.50472222222201,13.303333333333,4213,Charlottenburg,Lewishamstraße
Berlin Innsbrucker Platz station,52.478611111111,13.343888888889001,2402,Schöneberg,Wexstraße
Abgeordnetenhaus of Berlin,52.508055555556,13.381944444444,18360,Mitte,Niederkirchnerstraße
Großer Stern,52.514444444443996,13.35,4552,Tiergarten,Großer Stern
Charlottenburg Palace,52.5209,13.2957,106828,Charlottenburg,Spandauer Damm
Fischerinsel,52.513055555556,13.406666666666998,7213,Mitte,Fischerinsel
Bellevue Palace (Germany),52.5175,13.353333333333001,53033,Tiergarten,
Tauentzienstraße,52.502222222222,13.340833333333,7755,Schöneberg,Tauentzienstraße
Greifswald,54.083333333332995,13.383333333333,79115,Industriegebiet,Gützkower Landstraße
Berlin Alexanderplatz station,52.521388888889,13.411944444444,12068,Mitte,
Checkpoint Charlie Museum,52.507777777777996,13.390555555555999,26344,Mitte,Friedrichstraße
Pankstraße (Berlin U-Bahn),52.55222222222201,13.381666666666998,2359,Gesundbrunnen,Badstraße
Teufelsberg,52.4975,13.241111111111,93928,Grunewald,
2016 Berlin truck attack,52.505,13.335555555555999,242,Charlottenburg,Budapester Straße
Rosa-Luxemburg-Straße,52.526666666667005,13.411111111111,1905,Mitte,Rosa-Luxemburg-Platz
Schloßstraße (Berlin U-Bahn),52.460833333333,13.324444444444001,1963,Steglitz,Schloßstraße
Federal Foreign Office,52.514722222222005,13.399444444444,23734,Mitte,Kurstraße
Meistersaal,52.506111111111004,13.376944444444002,3044,Mitte,Köthener Straße
Französische Straße (Berlin U-Bahn),52.514722222222005,13.389166666666998,3197,Mitte,Friedrichstraße
Ishtar Gate,32.543333333333,44.422222222222004,205029,,شارع منتجع بابل
Berlin Jannowitzbrücke station,52.514638,13.418389000000001,4132,Mitte,Alexanderstraße
Soviet War Memorial (Treptower Park),52.4875,13.468333333333002,70521,Alt-Treptow,
Bierpinsel,52.461388888889,13.324444444444001,7573,Steglitz,
Böckler Park,52.4972,13.4079,1140,Kreuzberg,Prinzenstraße
Spreewald,51.913888888889,13.926388888889,26703,Deichsiedlung,Kuhbrücke
Friedrich-Wilhelm-Platz (Berlin U-Bahn),52.471944444444,13.328611111111,1542,Friedenau,Friedrich-Wilhelm-Platz
Germany,51.0,9.0,6513140,Haina,
Memorial to Homosexuals Persecuted Under Nazism,52.51325277777799,13.376316666666998,17430,Tiergarten,
Poststadion,52.53,13.359444444444001,8648,Moabit,
Friedrichstadt (Berlin),52.508333333333,13.391666666667,8992,Mitte,Schützenstraße
Bundesrat of Germany,52.50916666666701,13.381388888889001,152331,Mitte,Leipziger Straße
Rosenthaler Platz (Berlin U-Bahn),52.53,13.401,4344,Mitte,Brunnenstraße
Turmstraße (Berlin U-Bahn),52.525833333333,13.341388888889,2385,Moabit,Alt-Moabit
Core Tex Records,52.503333333332996,13.412222222221999,3201,Kreuzberg,Oranienstraße
Tränenpalast,52.5208,13.3869,14747,Mitte,Reichstagufer
Internationales Congress Centrum Berlin,52.504444444444,13.280555555555999,8118,Westend,Messedamm
Karl-Liebknecht-Straße,52.521388888889,13.407222222222,5655,Mitte,Karl-Liebknecht-Straße
Berlin Beusselstraße station,52.53444399999999,13.329444,2006,Moabit,Westhafenstraße
Berlin-Wedding station,52.5425,13.366111111111,2405,Wedding,Müllerstraße
Leipzig Panometer,51.314444444444,12.386666666666999,5398,Connewitz,Richard-Lehmann-Straße
Mendelssohn-Bartholdy-Park (Berlin U-Bahn),52.503888888889,13.375,2553,Tiergarten,Gabriele-Tergit-Promenade
Südstern (Berlin U-Bahn),52.489444444444,13.407777777778001,1929,Kreuzberg,
Berlin Westhafen station,52.536,13.344000000000001,2139,Moabit,Putlitzbrücke
Tropical Islands Resort,52.0375,13.748611111111,80408,,Tropical-Islands-Allee
Wannsee,52.416666666667005,13.15,44259,Wannsee,Alsenstraße
Soviet War Memorial (Schönholzer Heide),52.5816666667,13.3725,8765,Wilhelmsruh,Waldsteg
Birkenstraße (Berlin U-Bahn),52.532222222222,13.341388888889,2205,Moabit,Wilhelmshavener Straße
Gleisdreieck (Berlin U-Bahn),52.498333333332994,13.375277777778,6652,Kreuzberg,Trebbiner Straße
Hausvogteiplatz (Berlin U-Bahn),52.513055555556,13.396666666666999,2281,Mitte,
Wilhelmstrasse,52.509722222222,13.384166666667,17412,Mitte,
Bauhaus Archive,52.506111111111004,13.354166666666998,24991,Tiergarten,
Sophienkirche (Berlin),52.525555555556004,13.4,3536,Mitte,Große Hamburger Straße
Görlitzer Bahnhof (Berlin U-Bahn),52.498999999999995,13.427999999999999,3306,Kreuzberg,Wiener Straße
Adenauerplatz (Berlin U-Bahn),52.5,13.307222222221998,2823,Charlottenburg,Lewishamstraße
Walther-Schreiber-Platz (Berlin U-Bahn),52.466111111111005,13.328333333333001,2293,Friedenau,Bundesallee
