wiki_name,lat,lon,views,suburb,roads
Alexander Garden (Saint Petersburg),59.936944444443995,30.309444444443997,3516,,Адмиралтейский проезд
Saint Petersburg Mining University,59.929230000000004,30.26945,3484,,20-21-я линии В.О.
Universitetskaya Embankment,59.9392,30.2984,3387,,Университетская набережная
Kamenny Islands,59.98,30.29,3365,Острова,2-я Берёзовая аллея
Petrogradsky District,59.95,30.3,3313,Петроградская сторона,улица Яблочкова
Krestovsky Ostrov (Saint Petersburg Metro),59.97178100000001,30.259442,3310,Острова,Рюхина улица
English Embankment,59.9341,30.2932,3213,,Английская набережная
Passenger Port of St. Petersburg,59.94666666666701,30.192222222222,3206,Морской,
Petrogradskaya (Saint Petersburg Metro),59.966388888889,30.311388888889,3088,Петроградская сторона,Каменноостровский проспект
Narvskaya,59.901208333332995,30.274902777778,3068,,
Admiralteysky District,59.916666666667005,30.3,2864,Коломна,набережная реки Фонтанки
Hermitage Bridge,59.94268,30.31683,2804,,
Vasileostrovsky District,59.943888888889,30.241666666666998,2756,,
Bolshaya Neva River,59.934,30.283,2705,,набережная Лейтенанта Шмидта
Baltiyskaya (Saint Petersburg Metro),59.907213888889,30.299516666667,2524,,площадь Балтийского вокзала
Esders and Scheefhaals building,59.933055555556,30.314166666667,2501,Апраксин двор,набережная реки Мойки
Potseluev Bridge,59.92833333333299,30.295,2347,,Поцелуев мост
Staraya Derevnya (Saint Petersburg Metro),59.989611,30.255111,2311,,Торфяная дорога
"Moskovsky District, Saint Petersburg",59.816666666667004,30.3,2202,Авиагородок,Штурманская улица
Red Bridge (Saint Petersburg),59.9331,30.3152,2103,Апраксин двор,набережная реки Мойки
Prospekt Prosvescheniya (Saint Petersburg Metro),60.051441666667,30.332488888889,1941,,проспект Энгельса
"Kirovsky District, Saint Petersburg",59.866666666667,30.233333333333,1855,Турухтанные острова,
Chkalovskaya (Saint Petersburg Metro),59.961056000000006,30.292028000000002,1815,Петроградская сторона,Большая Зеленина улица
Moskovsky Victory Park,59.869166666667006,30.328611111111,1814,Ближняя Рогатка,Кузнецовская улица
Elektrosila (Saint Petersburg Metro),59.879202777778,30.318644444443997,1732,Ближняя Рогатка,Московский проспект
Annunciation Bridge,59.934653000000004,30.289695000000002,1682,,Благовещенский мост
Prospekt Bolshevikov (Saint Petersburg Metro),59.919917000000005,30.46675,1558,,улица Коллонтай
Ulitsa Dybenko (Saint Petersburg Metro),59.90744399999999,30.483356,1554,,улица Дыбенко
Kanonersky Tunnel,59.903611111111005,30.224444444444,1290,,Канонерский тоннель
Baltiysky railway station,59.9071,30.2988,1237,,набережная Обводного канала
Yakhtennaya,59.991666666667,30.054444444443998,1101,,
Youth Theatre on the Fontanka,59.918888888889,30.313055555556,907,Апраксин двор,набережная реки Фонтанки
Gazprom Arena,59.972952777778,30.220533333333,179,,Футбольная аллея
